,track,artist,week,value
0,Independent Women Part I,Destiny's Child,Peak_Time,56 days 00:00:00.000000000
1,"Maria, Maria",Santana,Peak_Time,56 days 00:00:00.000000000
2,I Knew I Loved You,Savage Garden,Peak_Time,98 days 00:00:00.000000000
3,Music,Madonna,Peak_Time,35 days 00:00:00.000000000
4,Come On Over Baby (All I Want Is You),"Aguilera, Christina",Peak_Time,70 days 00:00:00.000000000
5,Doesn't Really Matter,Janet,Peak_Time,70 days 00:00:00.000000000
6,Say My Name,Destiny's Child,Peak_Time,84 days 00:00:00.000000000
7,Be With You,"Iglesias, Enrique",Peak_Time,84 days 00:00:00.000000000
8,Incomplete,Sisqo,Peak_Time,49 days 00:00:00.000000000
9,Amazed,Lonestar,Peak_Time,273 days 00:00:00.000000000
10,It's Gonna Be Me,N'Sync,Peak_Time,84 days 00:00:00.000000000
11,What A Girl Wants,"Aguilera, Christina",Peak_Time,49 days 00:00:00.000000000
12,Everything You Want,Vertical Horizon,Peak_Time,175 days 00:00:00.000000000
13,With Arms Wide Open,Creed,Peak_Time,182 days 00:00:00.000000000
14,Try Again,Aaliyah,Peak_Time,91 days 00:00:00.000000000
15,Bent,matchbox twenty,Peak_Time,84 days 00:00:00.000000000
16,Thank God I Found You,"Carey, Mariah",Peak_Time,70 days 00:00:00.000000000
17,Breathe,"Hill, Faith",Peak_Time,168 days 00:00:00.000000000
18,Case Of The Ex (Whatcha Gonna Do),Mya,Peak_Time,105 days 00:00:00.000000000
19,He Loves U Not,Dream,Peak_Time,91 days 00:00:00.000000000
20,He Wasn't Man Enough,"Braxton, Toni",Peak_Time,49 days 00:00:00.000000000
21,You Sang To Me,"Anthony, Marc",Peak_Time,98 days 00:00:00.000000000
22,Give Me Just One Night (Una Noche),98¡,Peak_Time,42 days 00:00:00.000000000
23,Jumpin' Jumpin',Destiny's Child,Peak_Time,98 days 00:00:00.000000000
24,Kryptonite,3 Doors Down,Peak_Time,217 days 00:00:00.000000000
25,Thong Song,Sisqo,Peak_Time,112 days 00:00:00.000000000
26,I Turn To You,"Aguilera, Christina",Peak_Time,77 days 00:00:00.000000000
27,My Love Is Your Love,"Houston, Whitney",Peak_Time,126 days 00:00:00.000000000
28,I Wanna Know,Joe,Peak_Time,182 days 00:00:00.000000000
29,Get It On.. Tonite,"Jordan, Montell",Peak_Time,112 days 00:00:00.000000000
30,Bye Bye Bye,N'Sync,Peak_Time,77 days 00:00:00.000000000
31,The Real Slim Shady,Eminem,Peak_Time,49 days 00:00:00.000000000
32,Most Girls,Pink,Peak_Time,105 days 00:00:00.000000000
33,Gotta Tell You,"Mumba, Samantha",Peak_Time,91 days 00:00:00.000000000
34,Bring It All To Me,Blaque,Peak_Time,91 days 00:00:00.000000000
35,Hot Boyz,"Elliott, Missy ""Misdemeanor""",Peak_Time,42 days 00:00:00.000000000
36,I Try,"Gray, Macy",Peak_Time,91 days 00:00:00.000000000
