,track,artist,genre,week,Ranking
0,Independent Women Part I,Destiny's Child,Rock,1,78.0
1,"Maria, Maria",Santana,Rock,1,15.0
2,I Knew I Loved You,Savage Garden,Rock,1,71.0
3,Music,Madonna,Rock,1,41.0
4,Come On Over Baby (All I Want Is You),"Aguilera, Christina",Rock,1,57.0
5,Doesn't Really Matter,Janet,Rock,1,59.0
6,Say My Name,Destiny's Child,Rock,1,83.0
7,Be With You,"Iglesias, Enrique",Latin,1,63.0
8,Incomplete,Sisqo,Rock,1,77.0
9,Amazed,Lonestar,Country,1,81.0
10,It's Gonna Be Me,N'Sync,Rock,1,82.0
11,What A Girl Wants,"Aguilera, Christina",Rock,1,71.0
12,Everything You Want,Vertical Horizon,Rock,1,70.0
13,With Arms Wide Open,Creed,Rock,1,84.0
14,Try Again,Aaliyah,Rock,1,59.0
15,Bent,matchbox twenty,Rock,1,60.0
16,Thank God I Found You,"Carey, Mariah",Rock,1,82.0
17,Breathe,"Hill, Faith",Rap,1,81.0
18,Case Of The Ex (Whatcha Gonna Do),Mya,Rock,1,72.0
19,He Loves U Not,Dream,Rock,1,99.0
20,He Wasn't Man Enough,"Braxton, Toni",Rock,1,63.0
21,You Sang To Me,"Anthony, Marc",Latin,1,77.0
22,Give Me Just One Night (Una Noche),98¡,Rock,1,51.0
23,Jumpin' Jumpin',Destiny's Child,Rock,1,74.0
24,Kryptonite,3 Doors Down,Rock,1,81.0
25,Thong Song,Sisqo,Rock,1,74.0
26,I Turn To You,"Aguilera, Christina",Rock,1,50.0
27,My Love Is Your Love,"Houston, Whitney",Rock,1,81.0
28,I Wanna Know,Joe,Rock,1,94.0
29,Get It On.. Tonite,"Jordan, Montell",Rap,1,92.0
30,Bye Bye Bye,N'Sync,Rock,1,42.0
31,The Real Slim Shady,Eminem,Rap,1,70.0
32,Most Girls,Pink,Rock,1,85.0
33,Gotta Tell You,"Mumba, Samantha",Rock,1,85.0
34,Bring It All To Me,Blaque,Pop,1,73.0
