track,artist,Ranking
(Hot S**t) Country Grammar,Nelly,7.0
3 Little Words,Nu Flavor,89.0
911,"Jean, Wyclef",38.0
A Country Boy Can Survive,"Brock, Chad",75.0
A Little Gasoline,"Clark, Terri",75.0
A Puro Dolor (Purest Of Pain),Son By Four,26.0
Aaron's Party (Come Get It),"Carter, Aaron",35.0
Absolutely (Story Of A Girl),Nine Days,6.0
All Good?,De La Soul,96.0
All The Small Things,Blink-182,6.0
Amazed,Lonestar,1.0
American Pie,Madonna,29.0
Angels,"Williams, Robbie",53.0
Another Dumb Blonde,Hoku,27.0
Another Nine Minutes,Yankee Grey,74.0
Anything,Jay-Z,55.0
As We Lay,"Price, Kelly",64.0
Auld Lang Syne (The Millenium Mix),Kenny G,7.0
Baby Don't Cry (Keep Ya Head Up II),2 Pac,72.0
Baby U Are,"Levert, Gerald",89.0
Back At One,"Wills, Mark",36.0
Back Here,BBMak,13.0
Bad Boyz,Shyne,57.0
Bag Lady,"Badu, Erkyah",6.0
Be With You,"Iglesias, Enrique",1.0
Because You Love Me,"Messina, Jo Dee",53.0
Been There,"Black, Clint",44.0
Bent,matchbox twenty,1.0
Best Friend,Puff Daddy,59.0
Best Of Intentions,"Tritt, Travis",27.0
Better Off Alone,Alice Deejay,27.0
Between Me And You,Ja Rule,11.0
Big Deal,"Rimes, LeAnn",23.0
Big Pimpin',Jay-Z,18.0
Blue (Da Ba Dee),Eiffel 65,6.0
Born To Fly,"Evans, Sara",34.0
Bounce With Me,Lil Bow Wow,20.0
Breathe,"Hill, Faith",2.0
Breathe And Stop,Q-Tip,71.0
Bring It All To Me,Blaque,5.0
Broadway,Goo Goo Dolls,24.0
Buy Me A Rose,"Rogers, Kenny",40.0
Bye Bye Bye,N'Sync,4.0
Californication,Red Hot Chili Peppers,69.0
Callin' Me,Lil' Zane,21.0
Can't Fight The Moonlight,"Rimes, LeAnn",71.0
Can't Go For That,Tamia,84.0
Can't Stay,"Hollister, Dave",84.0
Carlene,"Vassar, Phil",45.0
Case Of The Ex (Whatcha Gonna Do),Mya,2.0
Caught Out There,Kelis,54.0
Change Your Mind,Sister Hazel,59.0
Cherchez LaGhost,Ghostface Killah,98.0
Cold Day In July,"Dixie Chicks, The",65.0
Come On Over Baby (All I Want Is You),"Aguilera, Christina",1.0
Could I Have This Kiss Forever,"Houston, Whitney",52.0
Couldn't Last A Moment,"Raye, Collin",43.0
Country Comes To Town,"Keith, Toby",54.0
