,Store Number,City,2015 Sales,2015 Sales_mean,County_Number,Price_per_Liter_mean,Zip_Code,2015_Volume_Sold_(Liters),2015_Volume_Sold_(Liters)_mean,2015_Margin_mean,2015_Sales_Q1,2016_Sales_Q1
0,2106,CEDAR FALLS,9731.85,18.4665085389,146326.22,277.65886148,7,17.8566007048,92.6718785579,50613,39287.29,30523.75
1,2113,GOWRIE,659.85,4.4887755102,9310.22,63.334829932,94,18.5077000324,21.1499319728,50543,2833.25,2065.9
2,2130,WATERLOO,6891.37,17.5800255102,111871.43,285.38630102,7,16.8358093416,95.2173469388,50703,24272.57,27856.11
3,2152,ROCKWELL,633.37,4.4919858156,7721.08,54.7594326241,17,13.020765122,18.3512765957,50469,2003.46,904.66
4,2178,WAUKON,1917.12,8.08911392405,24324.18,102.633670886,3,16.0538441186,34.4544303797,52172,5856.41,5588.5
5,2190,DES MOINES,6322.17,4.8077338403,121689.06,92.5392091255,77,23.3062274825,30.8880076046,50314,29452.92,34515.69
6,2191,KEOKUK,8053.32,13.5122818792,125093.49,209.88840604,56,19.0640531492,70.0409228188,52632,29085.57,47338.2
7,2200,SAC CITY,1817.24,4.50928039702,22811.55,56.6043424318,81,16.7069689267,18.9912406948,50583,4900.43,4174.87
8,2205,CLARINDA,1555.41,5.41954703833,24623.01,85.7944599303,73,19.0937125916,28.6573867596,51632,6407.74,3086.38
9,2228,WINTERSET,1367.65,5.69854166667,17462.07,72.758625,61,17.8901010338,24.3514166667,50273,5193.97,6522.65
10,2233,SPIRIT LAKE,2480.69,10.2933195021,29553.34,122.627966805,30,19.9450824936,40.9404979253,51360,5374.55,409.32
11,2238,ALTOONA,705.75,11.5696721311,11762.56,192.828852459,77,22.5507494145,64.3057377049,50009,858.61,14524.18
12,2248,DES MOINES,2815.35,6.12032608696,67682.06,147.134913043,77,28.8186198545,49.0967608696,50312,12663.68,12580.69
13,2285,IOWA CITY,3860.35,12.6155228758,76927.11,251.395784314,52,24.7769825708,84.0555882353,52240,10019.12,12846.93
14,2290,STORM LAKE,3626.2,4.62525510204,56514.43,72.0847321429,11,19.0011460985,24.0846556122,50588,12191.26,2196.57
15,2327,CORNING,822.28,4.35068783069,10245.14,54.2070899471,2,17.3241036785,18.0829100529,50841,2253.6,2549.94
16,2353,CRESCO,4486.65,12.3940607735,53349.19,147.373453039,45,17.2913785846,49.6398066298,52136,17382.6,23355.03
17,2413,DUBUQUE,6261.29,13.0172349272,90065.02,187.245363825,31,15.8801720127,62.5838253638,52001,22459.16,1423.37
18,2445,OAKLAND,571.79,3.34380116959,7189.48,42.0437426901,78,15.9500974659,14.0303508772,51560,1215.08,6738.18
19,2448,INDIANOLA,1245.53,3.030486618,17740.7,43.1647201946,91,17.0354280013,14.41486618,50125,5655.92,1824.69
20,2459,GUTHRIE CENTER,607.24,5.62259259259,7352.33,68.0771296296,39,13.5748801081,22.7692592593,50115,1609.57,5383.76
21,2460,HAMPTON,2782.46,8.35573573574,33731.76,101.296576577,35,16.5959609714,34.0257657658,50441,6746.61,4790.07
22,2465,DUBUQUE,1713.2,4.38158567775,25831.8,66.0659846547,31,20.7763496894,22.0711508951,52003,5615.99,4462.62
23,2475,WEST BEND,1044.94,14.1208108108,10681.07,144.338783784,55,15.482020592,48.1475675676,50597,5672.76,780.34
24,2478,ALTOONA,1038.0,12.0697674419,19840.65,230.705232558,77,24.7557751938,76.9234883721,50009,4459.85,33836.19
25,2487,ANAMOSA,2547.85,6.22946210269,28900.96,70.6624938875,53,16.2241050456,23.7251100244,52205,7256.6,29980.54
26,2498,ARLINGTON,230.12,3.9675862069,2259.67,38.9598275862,33,13.4860324302,13.0934482759,50606,279.22,19017.37
27,2500,AMES,10039.15,8.51497031383,149121.63,126.481450382,85,18.9887612317,42.2404410517,50010,40234.9,14605.93
28,2501,AMES,9959.4,7.77470725995,144833.66,113.062966432,85,18.8403059366,37.8069711163,50010,31412.95,33041.43
29,2502,ANKENY,10698.09,13.9116905072,150094.01,195.18076723,77,20.3203633261,65.4685435631,50021,39420.06,6147.99
30,2505,BOONE,5593.45,9.29144518272,70810.55,117.625498339,8,16.5789047226,39.5548504983,50036,14559.28,23254.14
31,2506,BURLINGTON,9022.58,9.74360691145,143431.66,154.893801296,29,20.5936832642,51.7555723542,52601,31009.77,9749.85
32,2507,BURLINGTON,2542.23,7.58874626866,29679.78,88.596358209,29,14.1319100924,29.5785671642,52601,8344.01,112518.79
33,2508,CEDAR RAPIDS,7862.83,10.016343949,115732.8,147.430318471,57,18.249818603,49.2495414013,52405,25427.31,17970.36
34,2509,CEDAR RAPIDS,3801.9,10.1655080214,49768.76,133.071550802,57,15.7037122217,44.5159893048,52404,12372.23,5522.69
35,2512,IOWA CITY,25921.88,18.8385755814,419746.83,305.048568314,52,19.7833004771,101.848444767,52240,82117.82,22169.46
36,2513,IOWA CITY,4156.64,5.97218390805,60268.48,86.5926436782,52,17.2368573089,28.9675,52240,12790.37,16165.27
37,2514,MARION,1163.28,5.96553846154,13817.52,70.8590769231,57,13.44178852,23.7091282051,50129,3122.25,6279.24
38,2515,MASON CITY,8866.56,6.88932400932,120977.04,93.9992540793,17,17.7549038924,31.4624397824,50401,23580.17,25970.12
39,2517,NEWTON,5890.95,6.70187713311,76238.42,86.7331285552,50,17.6036811643,29.0156427759,50208,17341.08,17305.66
40,2518,RED OAK,3110.36,8.03710594315,38178.25,98.6518087855,69,19.1254385028,32.9326098191,51566,10133.4,11888.36
41,2521,WEST DES MOINES,7775.4,9.89236641221,107379.85,136.615585242,77,19.0612378883,45.6446946565,50265,25152.34,25920.76
42,2522,SPIRIT LAKE,7637.09,11.7133282209,112353.87,172.321886503,30,17.7468267967,57.5370552147,51360,17085.59,10667.29
43,2523,CENTERVILLE,3183.06,7.95765,35476.85,88.692125,4,17.5153426192,29.617875,52544,6249.85,17477.28
44,2524,DUBUQUE,6728.19,9.70878787879,103507.58,149.361587302,31,18.8472409811,49.8998701299,52001,20151.17,6963.62
45,2527,DES MOINES,4392.49,9.22792016807,56331.05,118.342542017,77,16.6190611244,39.6182142857,50315,11848.69,11061.03
46,2528,DES MOINES,7700.05,11.9380620155,121199.45,187.906124031,77,17.7353458841,62.7890542636,50315,20559.95,11673.67
47,2529,CEDAR RAPIDS,3709.64,7.97772043011,35599.6,76.5582795699,57,14.5573492449,25.5804731183,52405,5251.27,13359.72
48,2532,DES MOINES,4254.25,10.3008474576,53207.99,128.832905569,77,14.3113974403,43.1306779661,50317,11724.24,16386.69
49,2535,WEST DES MOINES,4868.03,9.87430020284,70392.17,142.783306288,77,18.7117598128,48.123326572,50265,22751.92,14027.28
50,2536,PLEASANT HILL,4680.93,8.15493031359,68373.24,119.117142857,77,21.2997308171,39.8207142857,50317,16637.34,12512.07
51,2538,WATERLOO,3832.0,5.71940298507,55128.11,82.280761194,7,20.2126746905,27.503358209,50702,10779.48,30504.59
52,2539,IOWA FALLS,4703.26,11.4156796117,65501.63,158.984538835,42,17.7577266893,53.1297815534,50126,14048.75,7880.18
53,2543,OTTUWMA,4136.87,5.58282051282,61929.58,83.5756815115,90,18.1839087859,27.9011605938,52501,11959.37,29272.08
54,2544,MARSHALLTOWN,8021.91,9.21,121010.83,138.933214696,64,17.4576870859,46.4395177956,50158,31584.86,16286.12
55,2545,IOWA CITY,3097.6,4.44418938307,50195.78,72.0169010043,52,20.5779659694,24.0594691535,52245,8626.51,3763.08
56,2548,ALTOONA,6623.22,9.01118367347,97735.72,132.973768707,77,19.0269715616,44.4683537415,50009,15289.96,10015.29
57,2549,INDIANOLA,5839.03,11.3599805447,75218.86,146.340194553,91,16.5892912729,49.1687548638,50125,26690.73,20516.91
58,2550,OSCEOLA,1498.05,4.26794871795,19825.77,56.4836752137,20,15.8092053317,18.8972079772,50213,4156.78,6997.28
59,2551,CHARITON,2362.04,6.48912087912,32477.18,89.223021978,59,17.0544082452,29.8475,50049,7919.5,4865.08
60,2552,CEDAR RAPIDS,7930.56,8.0431643002,101064.0,102.498985801,57,18.7670464817,34.2851622718,52404,23784.11,17551.62
61,2553,CRESTON,1885.08,6.95601476015,26164.9,96.5494464945,88,16.6688938213,32.3121771218,50801,6809.61,7278.12
62,2554,DAVENPORT,2278.8,11.7463917526,22609.38,116.543195876,82,11.2060677467,38.9981443299,52802,3970.74,20680.81
63,2555,KEOKUK,5942.96,10.9245588235,84398.07,155.143511029,56,17.7968636204,51.8074816176,52632,14838.66,2031.14
64,2556,ESTHERVILLE,3221.51,6.13620952381,40672.86,77.4721142857,32,17.9416008951,26.0683619048,51334,8146.62,18659.71
65,2558,MOUNT PLEASANT,6202.32,14.8736690647,77222.04,185.184748201,44,17.5693575503,62.5472901679,52641,29003.27,25738.32
66,2559,ALBIA,879.0,6.51111111111,12022.75,89.0574074074,68,15.7226737213,29.9108888889,52531,2683.86,14998.9
67,2560,MARION,8342.02,9.52285388128,116129.54,132.567968037,57,17.7033105023,44.2666666667,52302,23703.59,10800.62
68,2561,DES MOINES,10648.53,10.4602455796,157134.87,154.356453831,77,20.1172369024,51.9102259332,50321,30898.92,16250.33
69,2562,FORT DODGE,5348.2,20.6494208494,54966.77,212.226911197,94,13.3486927744,71.79,50501,7341.93,6734.91
70,2564,WATERLOO,3981.03,11.955045045,48879.54,146.785405405,7,15.6511194653,49.1307807808,50701,7412.45,9150.3
71,2565,SPENCER,5189.44,5.01880077369,71542.43,69.1899709865,21,17.9392659354,23.1063539652,51301,17936.08,7560.49
72,2566,KNOXVILLE,2175.55,6.694,30363.02,93.4246769231,63,17.569227831,31.1883076923,50138,4163.07,12818.44
73,2567,DAVENPORT,4066.4,5.48771929825,46398.91,62.6166126856,82,15.1790999563,20.9667071525,52806,6703.81,23275.92
74,2568,CEDAR RAPIDS,2456.08,8.15973421927,25844.42,85.8618604651,57,14.6187970757,28.6747840532,52402,7318.16,21168.75
75,2569,CEDAR RAPIDS,3607.84,5.14670470756,48675.15,69.4367332382,57,16.7129001254,23.20467903,52402,10685.78,23487.54
76,2571,WATERLOO,5823.65,11.6473,80618.12,161.23624,7,16.225965934,53.95158,50703,14679.96,3560.59
77,2572,CEDAR FALLS,6080.74,4.67389700231,98831.43,75.9657417371,7,18.8003316365,25.3861414297,50613,22911.98,9695.4
