,company,location,salary,summary,title
52,"Gunther Douglas, Inc.","Superior, CO",112500.0,"Gunther Douglas’ client is seeking a Data Scientist for a 6 month contract-to-hire opportunity in located Superior, CO....",Data Scientist
57,Community College of Aurora,"Aurora, CO",40000.0,"Works with large complex data sets, including exporting/importing data from various sources, cleaning data files, and maintaining historical data records....",Research Analyst
85,University of Colorado,"Aurora, CO",56500.0,"Research information and data problems. Certification as a Data Carpentry instructor. Experience with data management best practices, especially the....",Bioinformationist
93,University of Colorado,"Boulder, CO",107500.0,"Of visiting scientists; In use of excel, data analysis and database systems. This is a 100% grant funded position with primary....",Managing Director for STROBE
99,Denver Health,"Denver, CO 80204 (Central West Denver area)",88091.0,"Budget development, processing and monitoring and based upon analyzed financial data makes recommendation for changes....",Business Manager - RADARS
207,Denver Health,"Denver, CO 80204 (Central West Denver area)",66654.0,"Typically, one (1) or more years of healthcare data analysis working with supporting or maintenance of databases and the analysis of data to drive improvements...",RN-Statistical Research Specilist Nursing
628,All-In Analytics,"Seattle, WA",125000.0,"Business Intelligence Scientist. SQL, Digital Analytics, eCommerce, Big Data, A/B Testing, data mining, data analysis, reporting, dashboarding, product...",Business Intelligence Scientist
633,State of Washington,"Bellevue, WA",55548.0,"Performing field surveys or studies, 2) responding to complaints involving scientific or technical content, 3) preparing public meetings and hearings, 4)...",TMDL Lead (Environmental Specialist 4)
635,Lighthouse Recruiting,"Seattle, WA",95000.0,"Join our Medical Laboratory Scientists Groups:. Familiarity with databases, tools, and resources commonly used in interpretation of genomic data....",Variant Scientist (Remote)
723,Smith Arnold Partners,"Seattle, WA",57500.0,Growing international custom research supplier is adding a Research Analyst to their growing team as they expand their business. This Research Analyst will,Research Analyst
750,tronc (formerly Tribune Publishing),"Los Angeles, CA",65000.0,Partner with data scientists in the Technology organization on the creation and enhancement of data dashboards....,Social Media Marketing Data Analyst
751,LT,"Los Angeles, CA",180000.0,"Our data team consists of two data analysts and 2 data scientists. This position will be second data scientist at this company, and within the next year you...",Senior Data Scientist
810,Los Angeles County Department of Human Resources,"Los Angeles, CA",88765.0,Develops and documents the backup procedure to assure a continuing flow of essential laboratory data in case breakdown of data systems....,"MEDICAL TECHNOLOGIST, DATA SYSTEMS"
842,Los Angeles County Human Resources,"Los Angeles, CA",97476.0,Evaluates the performance of subordinate Supervising Clinical Laboratory Scientists and reviews their evaluations of clinical laboratory scientists and...,SUPERVISING CLINICAL LABORATORY SCIENTIST III
852,Los Angeles County Department of Human Resources,"Los Angeles, CA",79758.5,Devises data processing procedures that make use of high speed computers and work with computer personnel in the programming and processing of data....,"RESEARCH ANALYST III, BEHAVIORAL SCIENCES"
854,Los Angeles County Department of Human Resources,"Los Angeles, CA",97476.0,Evaluates the performance of subordinate Supervising Clinical Laboratory Scientists and reviews their evaluations of clinical laboratory scientists and...,SUPERVISING CLINICAL LABORATORY SCIENTIST III
860,Selby Jennings,"Los Angeles, CA",120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Analyst - Multiple Vacancies
870,Tessie Cleveland Community Service Corporation,"Los Angeles, CA",56000.0,Technical Skills in Data Collection/Analysis and Database Management/Development. The Research and Evaluation Department at TCCSC is seeking a Senior Analyst to...,Senior Research Analyst
883,Los Angeles County Human Resources,"Los Angeles, CA",42566.5,"Compiles pertinent data to verify amounts, totals, and ensure balances. Participates in the coding, sorting, translating, and filing of data for statistical...",SENIOR STATISTICAL CLERK
887,Jobspring Partners,"Los Angeles, CA",95000.0,Data Scientist experience a plus! Big data and streaming web analytics experience. Having experience with data reporting and analytics is a must!...,Product Manager
896,Altair Engineering,"Cypress, CA",88000.0,"Altair ProductDesign is a global, multi-disciplinary product development consultancy of more than 700 designers, engineers, scientists, and creative thinkers....",Aerospace Program Manager
974,Los Angeles County Human Resources,"Los Angeles, CA",84495.5,Research experience working with quantifying survey data reliability in sampling size determination for health-related data collection....,"CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES"
978,Lighthouse Recruiting,"Pasadena, CA",95000.0,"Join our Medical Laboratory Scientists Groups:. And also performing quantitative analysis, data review and certifying and releasing results....",LC/MS Clinical Laboratory Scientist
980,Selby Jennings,"Los Angeles, CA",120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Analyst - Credit Risk
1084,Los Angeles County Department of Human Resources,"Los Angeles, CA",84495.5,Research experience working with quantifying survey data reliability in sampling size determination for health-related data collection....,"CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES"
1126,Wade & Wendy,"New York, NY",100000.0,"Our Data Scientist will integrate data from web sources, real-time adaptive questioning, and human-intelligence, to develop algorithms that create smart...",Wade & Wendy_Data Scientist/Engineer
1154,CONSUMER AFFAIRS,"Manhattan, NY",65977.0,"The Division of Data Analysis and Strategic Planning seeks a highly motivated, results oriented individual to serve as a Modeler/Data Scientist, Policy and...","Modeler/Data Scientist, Policy and Strategy"
1167,Averity,"New York, NY",110000.0,This is an opportunity for an experienced Senior Data Scientist to use your passion for advanced analytics and Big Data to impact our company's success....,"Senior Data Scientist for Innovative, Top-Ranked Global Comp..."
1189,Averity,"New York, NY",150000.0,"Our data science needs are growing quickly, and we are looking to bring on experienced, smart data scientists excited about machine learning and business-minded...",Senior Data Scientist
1199,Selby Jennings,"New York, NY 10167 (Midtown area)",167500.0,Senior Data Scientist. Data Intelligence Software Vendor. The Senior Data Scientist will lead the way on improving and maintaining real time detection models...,Senior Data Scientist
1205,Selby Jennings,"New York, NY 10167 (Midtown area)",160000.0,"Senior Data Scientist - Quantitative Solutions. Key qualifications for Senior Data Scientist:. Data Mining, SAS, R, Matlab, Mathematica, Machine Learning,...",Senior Data Scientist - Quantitative Solutions
1220,DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",65977.0,"Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....","Quality Assurance Analyst, Bureau of Vital Statistics"
1230,Selby Jennings,"New York, NY 10167 (Midtown area)",112500.0,"An industry-leading FinTech firm in California is adding to their growing risk team with a credit risk modeler, expert in predictive modeling. This role will",Statistical Modeler | FinTech
1244,Selby Jennings,"New York, NY 10167 (Midtown area)",120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Analyst - Multiple Vacancies
1258,"NewAgeSys,Inc","Parsippany, NJ",45000.0,Working knowledge of both computer and/or data handling acquisition systems is necessary and required. All Resumes reviewed Candidates MUST HAVE 3+ years with...,Scientist
1265,DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",76941.5,"-Evaluate data, prepare reports and maintain records. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and...","City Research Scientist, Bureau of the Public Health Laborat..."
1277,HOUSING PRESERVATION & DVLPMNT,"New York, NY",70286.0,"Reliability and validity, sampling, primary and secondary data collection, and data management. Experience managing and manipulating administrative data;...",Technical Researcher
1294,Averity,"New York, NY",150000.0,We are hiring a Lead Data Scientist for our growing Data Science team here at one of the world's largest and most respected companies....,Lead Data Scientist (New Jersey)
1325,Averity,"New York, NY",135000.0,"Strong background in big data technology. As a Data Scientist, you will make a significant contribution to the investment effort by maintaining and further...","Data Scientist, Quant Developer for $10B Asset Manager"
1335,Winston Fox,"New York, NY",200000.0,"Develop powerful systems that provide easy access to large amounts historical trading data, market data, trading simulations, pricing, risk etc. You will be...",Senior Software Development Engineer
1363,Averity,"New York, NY",80000.0,"As a Tableau Developer in our Data Science team, you will work in collaboration with our data scientists, QA engineers, software developers and business...",Tableau Developer for Global Organization
1366,Selby Jennings,"New York, NY 10167 (Midtown area)",135000.0,A top global commodities company is seeking an FTR Quantitative Analyst with specific experience within the power space. This is a great opportunity to work,FTR Quantitative Risk Analyst
