,company,location,salary,summary,title
0,All-In Analytics,"Austin, TX",150000.0,"Machine Learning Data Scientist. Forecasting, Statistical Modeling, building new data driven products. Sr....",Senior Machine Learning Data Scientist
1,XOR Data Exchange,"Austin, TX",90000.0,"XOR is leading a data revolution by giving transparency, accountability and control back to data owners. Our technical team consists of fast-paced, inventive...",Senior Software Engineer/Team Lead
2,Smith Arnold Partners,"Austin, TX",57500.0,Growing international custom research supplier is adding a Research Analyst to their growing team as they expand their business. This Research Analyst will,Research Analyst
3,Volt Workforce Solutions,"Austin, TX",135000.0,"Data mining competition experience preferred (Kaggle, KDDCUP, etc). Experience with large datasets, distributed systems, and/or data visualization is a....",Machine Learning Engineer
4,Lighthouse Recruiting,"Austin, TX",70000.0,"Join our Medical Laboratory Scientists Groups:. Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and...",LCMS Certifying Scientist
5,Denver Public Schools,"Denver, CO 80204 (Central West Denver area)",69673.0,Clean data for analysis. Develop data collection procedures to assess the effectiveness of work streams that aren’t currently informed by data....,"SENIOR RESEARCH ANALYST, TEACHING AND LEARNING - 17167"
6,10Roof Technology,"Denver, CO",105000.0,"Data Scientist, and a UI Developer. Great attitude to learn new technologies and build data applications using Big Data technologies (Greenplum / Hadoop)....","Big Data Developer (Spark, Hadoop, Hive)"
7,Mountain Ltd.,"Denver, CO",42500.0,Enter data from legal sources into database. Is seeking a *Legal Research Analyst*....,Legal Research Analyst
8,Lauren Enterprises,"Denver, CO 80226",35000.0,"Looking for a Food Scientist:. Secondary and/or final quality data review and product release, as well as new analytical method development for identity,...",Food Scientist: Chemistry & Formulations
9,xentity corporation,"Denver, CO",111000.0,"Validate data models (logical and physical) for adherence to data management standards. Maintain a data dictionary containing information about data, including...",Government Enterprise Architect
10,"Gunther Douglas, Inc.","Superior, CO",112500.0,"Gunther Douglas’ client is seeking a Data Scientist for a 6 month contract-to-hire opportunity in located Superior, CO....",Data Scientist
11,Community College of Aurora,"Aurora, CO",40000.0,"Works with large complex data sets, including exporting/importing data from various sources, cleaning data files, and maintaining historical data records....",Research Analyst
12,Denver Public Schools,"Denver, CO",63339.0,"Fulfill internal data requests, and coordinates external requests to conduct research within Denver Public Schools....",RESEARCH ANALYST – 16996
13,University of Colorado,"Boulder, CO",107500.0,"Of visiting scientists; In use of excel, data analysis and database systems. This is a 100% grant funded position with primary....",Managing Director for STROBE
14,Denver Health,"Denver, CO 80204 (Central West Denver area)",88091.0,"Budget development, processing and monitoring and based upon analyzed financial data makes recommendation for changes....",Business Manager - RADARS
15,Potatoes USA,"Denver, CO",85000.0,Extensive knowledge and experience analyzing sales and marketing data and presenting in an effective manner....,Global Marketing Manager - Food Manufacturing
16,University of Colorado,"Boulder, CO",50500.0,Experience finding data and/or providing support. Information science including scholarly communication and research data....,Health & Human Sciences Librarian
17,Dynamic Staffing Inc.,"Seattle, WA",125000.0,"Exposure to big data systems (Hadoop, HBASE, Hive), analytical tools (like R), and data designing and modeling tools....",Data Scientist-Software Engineer
18,LIBERTY MUTUAL GROUP,"Seattle, WA",118000.0,We are searching for a highly motivated data scientist who is eager to make an impact on the very complex and evolving insurance industry....,"Assistant Director, Data Science"
19,Cutting Edge Medical Diagnostics,"Seattle, WA",140000.0,"Data and image analysis using advanced statistics, data mining, machine learning methods. Object-oriented data structures SQL database queries....","Sr. Data Scientist / Machine Learning (In-vitro dx, Imaging)"
20,HERO.Jobs,"Seattle, WA",160000.0,"Build big data, machine learning applications that live in the cloud. Develop machine learning applications built to scale that process huge amounts of data....","Machine Learning Engineer - Big Data, Python, R"
21,"G2 Web Services, LLC","Bellevue, WA 98004 (Downtown area)",35000.0,Capture and record data in G2’s proprietary software tools. Create and develop reports based on dynamic information sources and data artifacts within existing...,Research and Investigation Analyst
22,All-In Analytics,"Seattle, WA",125000.0,"Business Intelligence Scientist. SQL, Digital Analytics, eCommerce, Big Data, A/B Testing, data mining, data analysis, reporting, dashboarding, product...",Business Intelligence Scientist
23,State of Washington,"Bellevue, WA",55548.0,"Performing field surveys or studies, 2) responding to complaints involving scientific or technical content, 3) preparing public meetings and hearings, 4)...",TMDL Lead (Environmental Specialist 4)
24,Lighthouse Recruiting,"Seattle, WA",95000.0,"Join our Medical Laboratory Scientists Groups:. Familiarity with databases, tools, and resources commonly used in interpretation of genomic data....",Variant Scientist (Remote)
25,All-In Analytics,"Seattle, WA",162500.0,"Working with a team of Analysts, Software Developers, Data scientists, and Product Managers. Sr....",Sr. Global Device Manager
26,Smith Arnold Partners,"Seattle, WA",57500.0,Growing international custom research supplier is adding a Research Analyst to their growing team as they expand their business. This Research Analyst will,Research Analyst
27,tronc (formerly Tribune Publishing),"Los Angeles, CA",65000.0,Partner with data scientists in the Technology organization on the creation and enhancement of data dashboards....,Social Media Marketing Data Analyst
28,LT,"Los Angeles, CA",180000.0,"Our data team consists of two data analysts and 2 data scientists. This position will be second data scientist at this company, and within the next year you...",Senior Data Scientist
29,Codesmith,"Los Angeles, CA",103000.0,We are now bringing this same groundbreaking approach to developing data scientists and machine learning specialists....,Senior Data Science Engineer and Instructor
30,Los Angeles County Department of Human Resources,"Los Angeles, CA",88765.0,Develops and documents the backup procedure to assure a continuing flow of essential laboratory data in case breakdown of data systems....,"MEDICAL TECHNOLOGIST, DATA SYSTEMS"
31,Los Angeles County Human Resources,"Los Angeles, CA",97476.0,Evaluates the performance of subordinate Supervising Clinical Laboratory Scientists and reviews their evaluations of clinical laboratory scientists and...,SUPERVISING CLINICAL LABORATORY SCIENTIST III
32,Los Angeles County Department of Human Resources,"Los Angeles, CA",79758.5,Devises data processing procedures that make use of high speed computers and work with computer personnel in the programming and processing of data....,"RESEARCH ANALYST III, BEHAVIORAL SCIENCES"
33,Los Angeles County Department of Human Resources,"Los Angeles, CA",97476.0,Evaluates the performance of subordinate Supervising Clinical Laboratory Scientists and reviews their evaluations of clinical laboratory scientists and...,SUPERVISING CLINICAL LABORATORY SCIENTIST III
34,Selby Jennings,"Los Angeles, CA",120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Analyst - Multiple Vacancies
35,Los Angeles County Department of Human Resources,"Los Angeles, CA",42566.5,"Compiles pertinent data to verify amounts, totals, and ensure balances. Participates in the coding, sorting, translating, and filing of data for statistical...",SENIOR STATISTICAL CLERK
36,Tessie Cleveland Community Service Corporation,"Los Angeles, CA",56000.0,Technical Skills in Data Collection/Analysis and Database Management/Development. The Research and Evaluation Department at TCCSC is seeking a Senior Analyst to...,Senior Research Analyst
37,Los Angeles County Human Resources,"Los Angeles, CA",42566.5,"Compiles pertinent data to verify amounts, totals, and ensure balances. Participates in the coding, sorting, translating, and filing of data for statistical...",SENIOR STATISTICAL CLERK
38,Jobspring Partners,"Los Angeles, CA",95000.0,Data Scientist experience a plus! Big data and streaming web analytics experience. Having experience with data reporting and analytics is a must!...,Product Manager
39,QYResearch,"Rowland Heights, CA 91748",50000.0,Analyzing and interpreting data; Identifies marketing opportunities and resolves marketing issues by analyzing market data....,Automotive industry market research analyst
40,TEEMA,"Los Angeles, CA",140000.0,"Partner with Director of Software Development, VP of Operations, Chief Data Scientist, and Sales to deliver world-class e-learning solutions to customers and...",Senior Product Manager - Disruptive ELearning Startup
41,Altair Engineering,"Cypress, CA",88000.0,"Altair ProductDesign is a global, multi-disciplinary product development consultancy of more than 700 designers, engineers, scientists, and creative thinkers....",Aerospace Program Manager
42,QYResearch,"Rowland Heights, CA 91748",60000.0,Analyzing and interpreting data; Identifies marketing opportunities and resolves marketing issues by analyzing market data....,Chemical Industry Market Research Analyst
43,Jobspring Partners,"Culver City, CA",87500.0,Big data analytics experience is a plus. Any interest in big data analytics is a huge plus. A software e-discovery cloud analytics company located in Culver...,Junior-Mid C# Machine Learning Developer
44,Phillips Graduate University,"Chatsworth, CA 91311",55000.0,Demonstrated aptitude for data extraction from Jenzabar using InfoMaker. Provide technical assistance and data to program chairs for student learning assessment...,Research Analyst
45,Los Angeles County Human Resources,"Los Angeles, CA",84495.5,Research experience working with quantifying survey data reliability in sampling size determination for health-related data collection....,"CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES"
46,Lighthouse Recruiting,"Pasadena, CA",95000.0,"Join our Medical Laboratory Scientists Groups:. And also performing quantitative analysis, data review and certifying and releasing results....",LC/MS Clinical Laboratory Scientist
47,Selby Jennings,"Los Angeles, CA",120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Analyst - Credit Risk
48,QYResearch,"Rowland Heights, CA 91748",50000.0,Analyzing and interpreting data; Identifies marketing opportunities and resolves marketing issues by analyzing market data....,Market Research Analyst
49,Los Angeles County Department of Human Resources,"Los Angeles, CA",104708.5,"An in-person proctored written test measuring written expression, data analysis & decision-making/mathematics, and reading comprehension....",HUMAN RESOURCES ANALYST IV - Test Research
50,Workbridge Associates,"Los Angeles, CA",130000.0,"Java Machine Learning Algorithm Developer needed for Burbank based leading alternative & solar energy company. You will be utilizing Java, or C# and will need",Java Machine Learning Algorithm Developer
51,Workbridge Associates,"Burbank, CA",105000.0,"Qualified candidates preferably have graduated with a degree in Mathematics, Physics, Scientific Computing, etc. and have a solid background in data structures,...",Software Engineer (Machine Learning/Algorithm Development
52,Los Angeles County Department of Human Resources,"Los Angeles, CA",84495.5,Research experience working with quantifying survey data reliability in sampling size determination for health-related data collection....,"CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES"
53,Jobspring Partners,"Boston, MA 02116 (South End area)",150000.0,Senior Data Scientist Job Description. Looking for a Senior Data Scientist willing to pay up to $150K. Experience with data analytics....,Senior Data Scientist
54,Domeyard LP,"Boston, MA 02110 (Central area)",120000.0,"Familiarity with lock-free and wait-free data structures. Benchmarking, profiling and performance tuning of various algorithms, data structures and numerical...",HPC Scientist at HFT Hedge Fund
55,Domeyard LP,"Boston, MA 02110 (Central area)",120000.0,"Familiarity with lock-free and wait-free data structures. Benchmarking, profiling and performance tuning of various algorithms, data structures and numerical...",High Performance Computing Scientist needed for HFT Firm
56,Jobspring Partners,"Boston, MA 02116 (South End area)",92500.0,"This position is designed to liaise between product teams, software engineers and data scientists to come up with unique and novel prospective on complex data...",Data Analyst
57,LIBERTY MUTUAL GROUP,"Boston, MA",134950.0,Drive Predictive Analytics strategy in Personal Insurance Claims by presenting recommendations and analyses to senior and executive level management at Liberty...,"Assistant Director, Predictive Modeling"
58,Jobspring Partners,"Boston, MA 02116 (South End area)",90000.0,One of Newton’s fastest growing SaaS companies is looking for a data scientist to build predictive models and run analytics for customer data for restaurants....,Data Analysis
59,Jobspring Partners,"Cambridge, MA",105000.0,An understanding of Signal Processing Data. They are looking for a Data Scientist/Engineer who can come in and help the team figure out the best ways to...,Data Scientist/Engineer
60,"NewAgeSys,Inc","Andover, MA",45000.0,This data is required to elucidate structure-function and to confirm suitable quality of clinical supplies....,Scientist (PFIZER)
61,Jobspring Partners,"Boston, MA 02116 (South End area)",170000.0,Stealth mode start up in downtown in Boston is looking to add a lead Data Scientist to super charge their cutting edge NLP platform....,Deep Learning Engineer
62,Rifiniti,"Boston, MA",55000.0,"We have a dynamic startup team, consisting of data scientists, software developers, systems administrators, sales representatives, and support personnel....",Assistant to the President
63,"Engineering Resource Group, Inc.","Boston, MA 02122 (South Dorchester area)",97500.0,"Minimum 3 years experience working as a data scientist, or in a similar quantitative field. At least one year experience and a proven track record of leading...",Lead Machine Learning Data Analyst
64,US Engineering Technical Services,"Wilmington, MA",110000.0,"Data preparation, data visualization and presentation of data. ﻿Solve business related problems using advanced data analysis and data driven technologies....",Data Analyst
65,Northeastern University,"Boston, MA 02115 (Fenway-Kenmore area)",60000.0,"Want to develop and apply algorithms for data analysis, machine learning and statistical inference. We are looking for researchers who enjoy working on...",Research Scientist
66,Harnham,"Cambridge, MA",180000.0,"The role is a linchpin team leading role heading up several groups of data scientists, analysts and researchers supporting a range of products and projects....","DATA SCIENTIST TEAM MANAGER, CUTTING EDGE TECH BUSINESS"
67,LIBERTY MUTUAL GROUP,"Boston, MA",112750.0,Familiarity with statistical modeling and advanced data analytics. You’ll have the opportunity to work in an Agile environment to collaborate closely with other...,Senior Software Developer
68,Jobspring Partners,"Boston, MA 02116 (South End area)",100000.0,Prior experience working in a Data Scientist role. One of the most well-known non-profits in the Boston Area is building out their first Data Science team and...,Data Scientist
69,Selby Jennings,"Boston, MA",97500.0,This is for a Portfolio Analyst with one of the world’s largest asset managers - dedicated to natural catastrophe and weather related risk. Responsibilities,Catastrophe Risk Analyst - Quantitative
