,index,id,created_at,text
0,0,7.65629939811e+17,8/16/2016 19:22:57,"It's just a 2-point race, Clinton 38%, Trump 36%' https://t.co/EzDzJ4EzIN"
1,1,7.58731880183e+17,7/28/2016 18:32:31,"""@LallyRay: Poll: Donald Trump Sees 17-Point Positive Swing in Two Weeks - Breitbart https://t.co/bVAj52fA3Y @realdonaldtrump""  Great!"
2,2,7.58350470402e+17,7/27/2016 17:16:56,"Great new poll - thank you!
#MakeAmericaGreatAgain https://t.co/mXovx0TLPC"
3,3,7.57577508347e+17,7/25/2016 14:05:27,"Great POLL numbers are coming out all over. People don't want another four years of Obama, and Crooked Hillary would be even worse. #MAGA"
4,4,7.53603401855e+17,7/14/2016 14:53:46,"Another new poll. Thank you for your support! Join the MOVEMENT today! 
#ImWithYou https://t.co/3KWOl2ibaW https://t.co/miT4atHxQz"
5,5,7.53580257895e+17,7/14/2016 13:21:48,"Great new poll- thank you America!
#Trump2016 #ImWithYou https://t.co/aVH9c5QRwc"
6,6,7.53353259411e+17,7/13/2016 22:19:48,Despite spending $500k a day on TV ads alone #CrookedHillary falls flat in nationwide @QuinnipiacPoll. Having ZERO impact. Sad!!
7,7,7.52618593197e+17,7/11/2016 21:40:30,Great poll- Florida! Thank you! https://t.co/4FuPpL5WOM
8,8,7.51889266935e+17,7/9/2016 21:22:25,"New poll - thank you! #Trump2016
https://t.co/Mi87Vmw06H https://t.co/WmqvcYG4r3"
9,9,7.48163921384e+17,6/29/2016 14:39:13,New Q poll out- we are going to win the whole deal- and MAKE AMERICA GREAT AGAIN! #Trump2016 https://t.co/dL5ahNcwZb
10,10,7.47206160806e+17,6/26/2016 23:13:25,"The ""dirty"" poll done by @ABC @washingtonpost is a disgrace. Even they admit that many more Democrats were polled. Other polls were good."
11,11,7.47190075344e+17,6/26/2016 22:09:30,"Hillary Clinton is not a change agent, just the same old status quo! She is spending a fortune, I am spending very little. Close in polls!"
12,12,7.47102432862e+17,6/26/2016 16:21:15,The @ABC poll sample is heavy on Democrats.  Very dishonest - why would they do that? Other polls good!
13,13,7.37596690258e+17,5/31/2016 10:48:49,"So many great things happening - new poll numbers looking good! News conference at 11:00 A.M. today, Trump Tower!"
14,14,7.36016335197e+17,5/27/2016 2:09:03,Poll data shows that @marcorubio does by far the best in holding onto his Senate seat in Florida. Important to keep the MAJORITY. Run Marco!
15,15,7.34405641893e+17,5/22/2016 15:28:44,RT @gatewaypundit: BREAKING POLL: Trump Gains 11 Points on Clinton Since March=&gt; Now Leads Crooked Hillary 46-44 https://t.co/y3BGy15Erb vi…
16,16,7.32033604709e+17,5/16/2016 2:23:06,"Great new poll- thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/SZyZ8GkF23"
17,17,7.31501778874e+17,5/14/2016 15:09:49,Great new poll- thank you! https://t.co/ytzesbCZas
18,18,7.29771731004e+17,5/9/2016 20:35:13,RT @greta: interesting poll results so far (and go vote on https://t.co/0Zv2YvEdRX) https://t.co/BnsRf9GSxC
19,19,7.24052308662e+17,4/24/2016 1:48:17,"As soon as John Kasich is hit with negative ads, he will drop like a rock in the polls against Crooked Hillary Clinton. I will win!"
20,20,7.2201742852e+17,4/18/2016 11:02:24,Kasich only looks O.K. in polls against Hillary because nobody views him as a threat and therefore have placed ZERO negative ads against him
21,21,7.21458878622e+17,4/16/2016 22:02:55,"""@Ollie_621: @FoxNews @realDonaldTrump I think it's more like 64%. #VoteTrumpNY🗽 #MakeAmericaGreatAgain!"
22,22,7.21450634521e+17,4/16/2016 21:30:09,"""@AshleyEdam: New CBS Poll shows defections from Cruz's core supporters &amp; increased support for @realDonaldTrump ...Not surprising."""
23,23,7.19830679765e+17,4/12/2016 10:13:02,"WOW, great new poll- New York! Thank you for your support! #Trump2016
#NewYorkValues https://t.co/kuvCXJXjcr https://t.co/WSVmdI8vfZ"
24,24,7.18993345197e+17,4/10/2016 2:45:46,"""@Theresa_Cali: Poll shows @realDonaldTrump leads among registered Republican women with 44%. 👍🏻 https://t.co/yQmh3iSPBY"" Thank you!"
25,25,7.14825845505e+17,3/29/2016 14:45:37,How come the @TODAYshow &amp; @chucktodd show the new @NBCNews Poll for Hillary vs Bernie but do not show the SAME poll where I am killing Cruz?
26,26,7.13820823665e+17,3/26/2016 20:12:01,"Don't believe the @FoxNews Polls, they are just another phony hit job on me. I will beat Hillary Clinton easily in the General Election."
27,27,7.11084345357e+17,3/19/2016 6:58:13,"""@cmichaeld2004: Realistic Trump Poll Numbers translate to the 70 percentile range in a two-man race. Gee, what happened to that 30% ceiling"
28,28,7.1099568386e+17,3/19/2016 1:05:55,"I guess I have reached yet another ""ceiling""  - 49.7%, with four people. My highest Reuters poll yet! Thank you! https://t.co/k5Ft585Arp"
29,29,7.09893207845e+17,3/16/2016 0:05:04,"Can't watch Crazy Megyn anymore. Talks about me at 43% but never mentions that there are four people in race. With two people, big &amp; over!"
30,30,7.07353658884e+17,3/8/2016 23:53:48,"I hear @NBCNews / @WSJ came out with another one of their phony polls. While I am leading, they are totally discredited after last S.C. poll"
31,31,7.06808780601e+17,3/7/2016 11:48:39,"Failed presidential candidate Lindsey Graham should respect me. I destroyed his run, brought him from 7% to 0% when he got out. Now nasty!"
32,32,7.06149793698e+17,3/5/2016 16:10:05,"Why would anyone in Kentucky listen to failed presidential candidate Rand Paul re: caucus. Made a fool of himself (1%.)
KY his 2nd choice!"
